name,id,parent_id,parent_name
Very low density lipoprotein increased,0dqUApMQqCC,2UMRKxGqA69,Cholesterol analyses
Vesical fistula,vzJR59fx2yB,DiV-prX7zgH,Bladder disorders NEC
Vesicocutaneous fistula,sLG_pzba2YD,DiV-prX7zgH,Bladder disorders NEC
Vesicoureteric reflux,1U9Hw_0hAt5,ABY9MEC5xZ8,Bladder reflux conditions
Vessel perforation,LSlw4-M4LVC,xdsHDyy1zN9,Vascular injuries NEC
Vessel puncture site bruise,SdX1KRArD27,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site discharge,ef72dcgVTh-,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site erythema,P3oriJ4mi29,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site haematoma,RChxLg8jt6H,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site haemorrhage,7nDLxXHzTDD,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site induration,Pg4swqVCBD4,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site inflammation,JIpELjK88e6,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site pain,SwR0FSb_WX6,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site paraesthesia,g67KJBZzeFE,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site phlebitis,a4De2DHyyg8,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site pruritus,AkqBPL4FzmE,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site rash,kmqBn_8EmB4,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site reaction,fUC7r3b9gmG,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site swelling,Ha7CAFrzZJ8,WO1fFqljd87,Administration site reactions NEC
Vessel puncture site thrombosis,UEIsKo12wjG,WO1fFqljd87,Administration site reactions NEC
Vestibular ataxia,Q5_fxqhXnA5,ilGrPGso0vG,Inner ear signs and symptoms
Vestibular disorder,GV8_3F4Vkz6,SnEuYfIDr0G,Inner ear disorders NEC
Vestibular function test abnormal,JNe5Hm3x2T7,jnugPc4hpAH,Auditory and vestibular diagnostic procedures
Vestibular migraine,1yYJJALRpA9,jdDbeJPo4FD,Migraine headaches
Vestibular neuronitis,bkdYKTpJsJA,Ha_3KAGVd6_,Viral infections NEC
Vestibulitis,LtgyM_RF6GC,n4U4r2K2QZB,Infections NEC
Vestibulocerebellar syndrome,alWqdAx5L35,6QItaz0iehA,Cerebellar disorders congenital
Vibration test abnormal,6e19hIFXj1C,1PaLNhp_ezG,Neurologic diagnostic procedures
Victim of abuse,KwAUOPsSe1G,Y-bJRLCk5FC,Crime victims
Victim of crime,2pgfZHGMoTC,Y-bJRLCk5FC,Crime victims
Victim of homicide,aPl2T25qgn4,Y-bJRLCk5FC,Crime victims
VIIIth nerve injury,g5B57eSvVy8,DNL0iqEomYD,Cranial nerve injuries
VIIIth nerve lesion,PvGGwcmQg89,JgAb45PQFXG,Auditory nerve disorders
Violence-related symptom,8oPJlM-W9t9,FkspTR49mwA,Behaviour and socialisation disturbances
Viraemia,dToZ7C5b8WG,Uhy7h3kIm6D,"Sepsis, bacteraemia, viraemia and fungaemia NEC"
Viral cardiomyopathy,rg33scrnTzF,Ha_3KAGVd6_,Viral infections NEC
Viral corneal ulcer,Pk0BkHFqE-7,Ha_3KAGVd6_,Viral infections NEC
Viral diarrhoea,tHDu5dnIp1E,Ha_3KAGVd6_,Viral infections NEC
Viral haemorrhagic cystitis,gJCCYlsWZ7B,Ha_3KAGVd6_,Viral infections NEC
Viral hepatitis carrier,VvbMMAAUwsB,PDIhlV2xgGA,Infectious disorders carrier
Viral infection,hpNh34DBW14,Ha_3KAGVd6_,Viral infections NEC
Viral keratouveitis,jre7w-RDMJD,Ha_3KAGVd6_,Viral infections NEC
Viral labyrinthitis,CxhzA8lKxtF,Ha_3KAGVd6_,Viral infections NEC
Viral myocarditis,2DBled2VklB,Ha_3KAGVd6_,Viral infections NEC
Viral myositis,p114PoOVwhC,Ha_3KAGVd6_,Viral infections NEC
Viral oesophagitis,JUvxUtDXRe4,Ha_3KAGVd6_,Viral infections NEC
Viral pericarditis,1l5DAvyUD6B,Ha_3KAGVd6_,Viral infections NEC
Viral pharyngitis,MuC5Dktokq-,Ha_3KAGVd6_,Viral infections NEC
Viral rash,ozhAHB73Oq5,Ha_3KAGVd6_,Viral infections NEC
Viral rhinitis,UwIzk7a_EP7,Ha_3KAGVd6_,Viral infections NEC
Viral sepsis,DxEKk-urI5_,Ha_3KAGVd6_,Viral infections NEC
Viral sinusitis,Z6c2rFXuE3F,Ha_3KAGVd6_,Viral infections NEC
Viral skin infection,01rQHJDryI_,Ha_3KAGVd6_,Viral infections NEC
Viral test positive,5VbQbJn-Iu_,r9xIHENzxW7,Virus identification and serology
Viral titre decreased,qAuX8eO3IlF,r9xIHENzxW7,Virus identification and serology
Viral tonsillitis,Mmz2ICoZ6e-,Ha_3KAGVd6_,Viral infections NEC
Viral tracheitis,WsIyVEif08C,Ha_3KAGVd6_,Viral infections NEC
Viral upper respiratory tract infection,he8M6zIpMm4,Ha_3KAGVd6_,Viral infections NEC
Viral uveitis,Ho-Jck5jhuF,Ha_3KAGVd6_,Viral infections NEC
Virilism,VQI13ldDEmA,Np0fkwCgtm4,Female gonadal function disorders
Virilism foetal,2woj59yz36A,3mqUG3O0ZEF,Reproductive tract disorders congenital NEC
Virologic failure,SRytZqjpC66,n4U4r2K2QZB,Infections NEC
Visceral congestion,HLU1J4-IA94,QIaaz8aAk84,Non-site specific vascular disorders NEC
Visceral leishmaniasis,Qfm5utBp0O4,C_PsY_ocqP_,Leishmania infections
Visceral oedema,GTeNrRSoW7-,zG199INJYl5,Oedema NEC
Visceral pain,nUfajdnuYTA,vmVWGZlIYr_,Pain and discomfort NEC
Visceral venous thrombosis,Yjg65BIT10A,Ann6U3oKPJ4,Gastrointestinal vascular occlusion and infarction
Visceroptosis,WXmQOQPfWr-,oyqA7bb5SO9,Peritoneal and retroperitoneal disorders
Vision abnormal neonatal,2L5kK0vn0R7,b28kFW5OuAB,Visual disorders NEC
Vision blurred,0wOPdlYs0L9,b28kFW5OuAB,Visual disorders NEC
Visual acuity reduced,a_jSh20vzr8,QUqhhXJAV3E,Visual impairment and blindness (excl colour blindness)
Visual acuity reduced transiently,DWhyYOB-3b6,QUqhhXJAV3E,Visual impairment and blindness (excl colour blindness)
Visual acuity tests,y86Its4y1lB,LdrmhDfgcy8,Ophthalmic function diagnostic procedures
Visual acuity tests abnormal,4l9dXiUgGXD,LdrmhDfgcy8,Ophthalmic function diagnostic procedures
Visual agnosia,S5_23YqftN7,90_Wk221fa4,Cortical dysfunction NEC
Visual analogue scale,4UXJUvFB577,xj7vwMgKUk9,Investigations NEC
Visual brightness,pd9k98YJON4,b28kFW5OuAB,Visual disorders NEC
Visual cortex atrophy,SzfyNjK-fr8,ByDm1OLRBBB,Structural brain disorders NEC
Visual evoked potentials,F6hO1RxpStF,1PaLNhp_ezG,Neurologic diagnostic procedures
Visual evoked potentials abnormal,R41WocSgF6_,1PaLNhp_ezG,Neurologic diagnostic procedures
Visual field defect,B5jSqxK6MXA,tOYtcDorbI-,Visual field disorders
Visual field tests abnormal,hjUXLTTdIlG,LdrmhDfgcy8,Ophthalmic function diagnostic procedures
Visual impairment,Xzc77OgoHMD,QUqhhXJAV3E,Visual impairment and blindness (excl colour blindness)
Visual midline shift syndrome,9vCl8iPoJG5,tokgGPnRg0C,Sensory abnormalities NEC
Visual pathway disorder,pgJoeq1lgJC,2fnaLjW4j25,Neurologic visual problems NEC
Visual perseveration,1AEgc6Qoua5,tokgGPnRg0C,Sensory abnormalities NEC
Visual tracking test abnormal,BDn2Ls5E2Z_,LdrmhDfgcy8,Ophthalmic function diagnostic procedures
Visuospatial deficit,i26W3vqhBX_,90_Wk221fa4,Cortical dysfunction NEC
Vital capacity abnormal,lAVCF5fZHsG,uboJBLydxG9,Respiratory and pulmonary function diagnostic procedures
Vital capacity decreased,paRYmlbh57H,uboJBLydxG9,Respiratory and pulmonary function diagnostic procedures
Vital dye staining cornea,rV4SKhx9bND,LdrmhDfgcy8,Ophthalmic function diagnostic procedures
Vital dye staining cornea present,wYDgzO7PLf5,LdrmhDfgcy8,Ophthalmic function diagnostic procedures
Vital functions abnormal,gtkzWDEPA16,IfS42vTnVl-,Physical examination procedures and organ system status
Vitamin A abnormal,UdHeGsS8VuH,YDetO2f2FaA,Vitamin analyses
Vitamin A decreased,OyU5bk8EOd8,YDetO2f2FaA,Vitamin analyses
Vitamin A deficiency,pBX-g9MKY-4,MIjVuIXSo87,Fat soluble vitamin deficiencies and disorders
Vitamin A increased,KZl5J5oRnM7,YDetO2f2FaA,Vitamin analyses
Vitamin B complex deficiency,ALn2zcidpL4,0FUzDe2PG99,Water soluble vitamin deficiencies
Vitamin B1,csKRH9sbdo-,YDetO2f2FaA,Vitamin analyses
Vitamin B1 decreased,iaVLRBbKyY5,YDetO2f2FaA,Vitamin analyses
Vitamin B1 deficiency,92COzXpI5LH,0FUzDe2PG99,Water soluble vitamin deficiencies
Vitamin B1 increased,eBmL_VHXLI4,YDetO2f2FaA,Vitamin analyses
Vitamin B12 absorption test abnormal,PiiLnpt7aD4,YDetO2f2FaA,Vitamin analyses
Vitamin B12 decreased,QJ-4kVhrt6_,YDetO2f2FaA,Vitamin analyses
Vitamin B12 deficiency,Pe1Z_iqLxC-,0FUzDe2PG99,Water soluble vitamin deficiencies
Vitamin B12 increased,MwO5SqN4Gq-,YDetO2f2FaA,Vitamin analyses
Vitamin B2 decreased,j8mzA3594Y9,YDetO2f2FaA,Vitamin analyses
Vitamin B6 abnormal,7xD_DAuQkA5,YDetO2f2FaA,Vitamin analyses
Vitamin B6 decreased,nEtU_N1LUZ9,YDetO2f2FaA,Vitamin analyses
Vitamin B6 deficiency,4NI8UTQDzFD,0FUzDe2PG99,Water soluble vitamin deficiencies
Vitamin B6 increased,jr9UtihYtI8,YDetO2f2FaA,Vitamin analyses
Vitamin C decreased,Q23J7P6rbdE,YDetO2f2FaA,Vitamin analyses
Vitamin C deficiency,PxEB2rymDo-,0FUzDe2PG99,Water soluble vitamin deficiencies
Vitamin D,LABnh6_cla4,YDetO2f2FaA,Vitamin analyses
Vitamin D abnormal,R0pHhlv-Dc5,YDetO2f2FaA,Vitamin analyses
Vitamin D decreased,RYJyqFZfid4,YDetO2f2FaA,Vitamin analyses
Vitamin D deficiency,mmVGSSpkX84,MIjVuIXSo87,Fat soluble vitamin deficiencies and disorders
Vitamin D increased,N_ZyYaFs7MH,YDetO2f2FaA,Vitamin analyses
Vitamin E decreased,S6aaa73Spd8,YDetO2f2FaA,Vitamin analyses
Vitamin E deficiency,ldqz3DIYXmD,MIjVuIXSo87,Fat soluble vitamin deficiencies and disorders
Vitamin K decreased,YGEM49wHSeE,YDetO2f2FaA,Vitamin analyses
Vitamin K deficiency,fnnDatANWiD,MIjVuIXSo87,Fat soluble vitamin deficiencies and disorders
Vitello-intestinal duct remnant,UDrcG0SEsxE,d0fOtFzmxWD,Intestinal disorders congenital
VIth nerve disorder,W16AdiyxMXH,i7jCMMWaTi5,Eye movement disorders
VIth nerve injury,gARvEU2ecf-,DNL0iqEomYD,Cranial nerve injuries
VIth nerve paralysis,aNQC0mBeC0D,i7jCMMWaTi5,Eye movement disorders
VIth nerve paresis,RxgYxwzREU6,i7jCMMWaTi5,Eye movement disorders
Vitiligo,2EzZt3B8HtG,Kmf0cGiwM84,Hypopigmentation disorders
Vitreal cells,0GrEGy599qB,HsAaEKuioi5,"Choroid and vitreous structural change, deposit and degeneration"
Vitrectomy,Iy-bF5tYd8-,rfMZ0UAHYI8,Eye therapeutic procedures NEC
Vitreoretinal traction syndrome,Qg8rqjy0k1-,AiD5FsxKd76,"Retinal structural change, deposit and degeneration"
Vitreous abscess,3pvfUFdB5WG,DQG8W27BP87,Eye and eyelid infections
Vitreous adhesions,FINqeSR1pMC,HsAaEKuioi5,"Choroid and vitreous structural change, deposit and degeneration"
Vitreous degeneration,kLw7dW6aBP4,HsAaEKuioi5,"Choroid and vitreous structural change, deposit and degeneration"
Vitreous detachment,8XRGOcfsHN8,HsAaEKuioi5,"Choroid and vitreous structural change, deposit and degeneration"
Vitreous disorder,KYSKuMq71A6,OyOJgWx1aV7,Ocular disorders NEC
Vitreous fibrin,j_TcN-YJdA6,HsAaEKuioi5,"Choroid and vitreous structural change, deposit and degeneration"
Vitreous floaters,12ufk5jzba8,HsAaEKuioi5,"Choroid and vitreous structural change, deposit and degeneration"
Vitreous haemorrhage,zGpTwbSLeW4,O2dDA1GI9R6,Choroid and vitreous haemorrhages and vascular disorders
Vitreous loss,OVJzK4ctnvE,HsAaEKuioi5,"Choroid and vitreous structural change, deposit and degeneration"
Vitreous opacities,wVzx0MQC4j9,HsAaEKuioi5,"Choroid and vitreous structural change, deposit and degeneration"
Vitreous prolapse,LbnB-ot3PoH,HsAaEKuioi5,"Choroid and vitreous structural change, deposit and degeneration"
Vitritis,L7fToV5QfGB,eYeJw-ZZ7XE,"Retinal, choroid and vitreous infections and inflammations"
Vocal cord atrophy,TTg9iiE5XpH,0DYPFK-E4e-,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms)
Vocal cord cyst,J5HdP34ggc8,0DYPFK-E4e-,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms)
Vocal cord disorder,g2RWji1v7S8,0DYPFK-E4e-,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms)
Vocal cord inflammation,hvSPhYMoIKA,0DYPFK-E4e-,Laryngeal and adjacent sites disorders NEC (excl infections and neoplasms)
Vocal cord paralysis,eJfMe8NEZID,eSv5Zxw08N6,Vagus nerve disorders
