name,id,parent_id,parent_name
Red-clawed crab,w0FJPKZEYN9,9FPHv4Y6A-5,Crustacea
Rhesus monkey,Ip-mj6LPD24,6ZTeHxj99GC,Primate
Rice rat,36mY5CVb9_9,8tURyy1wDb8,Rodent
Rice fish,Kh3KjDJ1LRB,OnKoNIEmA_A,Fish
River trout,HMkRh4JN217,OnKoNIEmA_A,Fish
Roach,U5Z6HLrGuLH,OnKoNIEmA_A,Fish
Rodent (unspecified),XiKNgiyin38,8tURyy1wDb8,Rodent
Rohu,_bpfPLNhAE-,OnKoNIEmA_A,Fish
Rotifer,C-xTobtjaJA,gtKFVHhk_UG,Platyzoa
Rotifera,rl3gWslqj1E,yUuZkm5CuwE,Helminth
Roughskin sculpin,P5asJ1t9tf4,OnKoNIEmA_A,Fish
Roundworm,pURvhsBaq0-,rCMthrGpwxF,Worm
Saccharomyces cerevisiae,hcVIGCssmKG,51aOiL5rFaF,Fungus
Salamander,FKJ3YU824r4,Guwc1AoaDmB,Amphibian
Salmon,jl8WT-wMmc8,OnKoNIEmA_A,Fish
Salmonella enterica,DCDpR3QClxG,FiGLV1kduQ-,Bacterium
Salmonella typhimurium,x6yC-nXBiDG,FiGLV1kduQ-,Bacterium
Sand dollar,e_xTxdz8ku6,TCsjIV2zOe_,Mellitidae
Sea cucumber,0xaYrx3v28D,yhq8-kv8WO5,Echinoderm
Sea lion,bKcoqV2_Cs4,vC-9yfp-ln7,Pinnipedia
Sea urchin,TCe6K6ye3c8,yhq8-kv8WO5,Echinoderm
Seabass,Z_dJQG1RWu9,OnKoNIEmA_A,Fish
Seabream,n4CnICf4Ok-,OnKoNIEmA_A,Fish
Seahorse,jvFH2PxtV5D,OnKoNIEmA_A,Fish
Sheep,Na20tx1vU16,llMQcjN35M7,Ungulate
Shrew,JVh2h3oWMEH,dTLBFT0olzA,Soricidae
Shrimp,TMPIQGNx2G9,9FPHv4Y6A-5,Crustacea
Siamese fighting fish,GS2zRKq0niE,OnKoNIEmA_A,Fish
Silkworm,-f2sBau6EhA,NhTJWYxD7g9,Bombycidae
Silver barb,tWQ26yt0-nA,OnKoNIEmA_A,Fish
Snail,kz0z6Fm2bS5,qarYH6EZ2m7,Mollusc
Snakehead fish,t1CETsH-n1B,OnKoNIEmA_A,Fish
Sooty mangabey,Lb2OaABisN6,6ZTeHxj99GC,Primate
Spider,RpeqNLnOCCA,lHdnbEcSSp-,Arachnida
Spotted wing drosophila,-gmBCK3FzO7,qupKpAgusY_,Insect
Springtail,AHqCXsZf5I-,ERv3Okz3LH-,Hexapoda
Squirrel monkey,RV7JA_BoLLE,6ZTeHxj99GC,Primate
Starling,IPcquo-S2SF,3YKkIwNRoLH,Bird
Stickleback,bZEgLQFYsVC,OnKoNIEmA_A,Fish
Stumptail monkey,tK9j6DWlOg5,6ZTeHxj99GC,Primate
Summer fruit tortrix,ZNAK9lrcg08,rRWDmeblioC,Lepidoptera
Sunfish,PHEEGEXU716,OnKoNIEmA_A,Fish
Swollen river mussel,0PcQDWgGRe6,qarYH6EZ2m7,Mollusc
Swordtail,4C6SP0rBmYF,OnKoNIEmA_A,Fish
Tambaqui,b8tdKqe0ZqB,OnKoNIEmA_A,Fish
Tasmanian devil,prQ77ABdnH8,yyTbPr41qs7,Marsupial
Tick,JZN3RIMqh09,lHdnbEcSSp-,Arachnida
Tiger mosquito,zM4Vfej8VaD,qupKpAgusY_,Insect
Tilapia,p2pVIWD6GtF,OnKoNIEmA_A,Fish
Toad,hdrTwATDGGD,Guwc1AoaDmB,Amphibian
Toothed top shell,BeVWR8rdAaD,qarYH6EZ2m7,Mollusc
Triggerfish,bmAHDDvL5XH,OnKoNIEmA_A,Fish
Tunicate,Mb2gDaxtGy_,6_PeAw7M-uE,Ascidiidae
Turbellaria,stPYOT_TFi9,SGEyOP-zkv8,Platyhelminth
Turkey,qKkPCstA5tB,1IhqLnCEqW9,Galliformes
Turtle,HWav0EgSc3F,q_TUw_d3KR7,Testudinata
Unio tumidus,_wQnvpUmbEH,qarYH6EZ2m7,Mollusc
Velvet monkey,CcY7oZjUh7C,6ZTeHxj99GC,Primate
Vole,j0ajLHnIFsF,8tURyy1wDb8,Rodent
Vulture,upoSwoKZNG5,wm-_dEwUYN4,Accipitriformes
Wasp,cef3IAbtLdG,qupKpAgusY_,Insect
Water flea,vc3zXxWPLGF,9FPHv4Y6A-5,Crustacea
Weevil,BYkc4TMYQ1B,qupKpAgusY_,Insect
White worm,VF2g91w_iUA,EUeuwl5NKfH,Enchytraeidae
Whitefish,MUdtIZKP3MB,OnKoNIEmA_A,Fish
Wild bird,rEwY_qiQlZ9,3YKkIwNRoLH,Bird
Wildebeest,W-ZVbRbUvS6,llMQcjN35M7,Ungulate
Wolf fish,RIrNgNgfQJA,OnKoNIEmA_A,Fish
Woodchuck,UFclk379NG-,8tURyy1wDb8,Rodent
Xenostrobus securis,BxonTUBCiJ_,qarYH6EZ2m7,Mollusc
Yellowhead catfish,3vpHxdcVLdG,OnKoNIEmA_A,Fish
Yellowstripe goby,Jmx8Nl1kWP-,OnKoNIEmA_A,Fish
Zebra mussel,6sYKimQr8x_,qarYH6EZ2m7,Mollusc
Zebrafish,JfA7NfkkbpE,OnKoNIEmA_A,Fish
