name,id,parent_id,parent_name
Ciprofloxacin Hydrochloride,tRIRicC7JJH,j2AL1AQ0P55,"Anti-infectives, ophthalmic"
Ciprofloxacin Hydrochloride; Dexamethasone,0vEYoAX4qm8,hCpojsY2e77,"Anti-infectives, otic"
Ciprofloxacin Hydrochloride; Hydrocortisone,OFZBi0uAhq8,hCpojsY2e77,"Anti-infectives, otic"
Ciprofloxacin; Fluocinolone Acetonide,PNjwYXxTe0E,VSOkZcRAcJB,"Antibiotics, quinolones"
Ciprostene,Zz8NooxTiq5,0iOzvcznsgF,Prostaglandins
Ciramadol,8pxv2VmFfIB,njguYzQopJG,"Analgesics, narcotic"
Cisapride Monohydrate,w1g1kv3OqI9,PG6eI07kFtD,Gastrointestinals
Cisatracurium Besylate,0eU224pJ_86,6gRNbPthJjF,Musculoskeletal agents
Cisplatin,Stlyay_fSgF,w4UxuAPnSjD,"Antineoplastics, platinum agents"
Citalopram Hydrobromide,GYc1nazFtlD,B3H2AeB-Ja-,"Antidepressants, serotonin specific reuptake inhibitors"
Citric Acid; Glucono-Delta-Lactone; Magnesium Carbonate,meASzV-IrqB,o_gfy3-ZtDH,Alkalinizing agents
Citric Acid; Magnesium Oxide; Sodium Carbonate,HHZ2KJT9zWG,o_gfy3-ZtDH,Alkalinizing agents
Citric Acid; Potassium Citrate,u8fJ474nV8A,o_gfy3-ZtDH,Alkalinizing agents
Citric Acid; Sodium Citrate,w6_RLxG2xu7,o_gfy3-ZtDH,Alkalinizing agents
"Citric Acid; Urea, C-13",Jc5gAf2P5w4,vVUc0XiiUW9,"Diagnostics, nonradioactive"
Cladribine,3CMn8t4cPt7,fr6nSMR-Nf_,"Antineoplastics, antimetabolites"
Clarithromycin,OF6z4PX5G--,LGPr2u6rfEA,"Antibiotics, macrolides"
Clascoterone,Dh3vQSAZqB_,QblGx3T2oQ4,Dermatologics
"Class I antidysrhythmic drugs, NOS",dypBtQsjYi8,iQJJuPb0fRE,"Antiarrhythmics, class I"
Clavulanic Acid,VFF5Gh4E4b6,zCfVBW_CosG,"Antibiotics, beta-lactamase inhibitors"
Clebopride,we5-w7lfwp4,K7Tm-wOC4wH,Antiemetics/antivertigo
Clemastine Fumarate,SyxuPLXAo75,BdgB63BvsxA,"Antihistamines, H1"
Clemastine Fumarate; Phenylpropanolamine Hydrochloride,SaUzQKmdGoC,BdgB63BvsxA,"Antihistamines, H1"
Clenbuterol,98JLbqRCqg4,zbYyh-Ngy29,"Antiadrenergics, beta blocking"
Clesrovimab,Mk0TYeUySE5,Qm6KT6ugkp9,Antivirals
Clevidipine Butyrate,aaZXpzrFlGF,fKBa7pcp6Q8,Calcium channel blockers
Clidinium Bromide,cHe8g8XxTN7,NNuXAzVcBz-,Anticholinergics
Clinafloxacin,btr7gTYEay_,VSOkZcRAcJB,"Antibiotics, quinolones"
Clindamycin Hydrochloride,q8Ugcpt4qf8,ISv-VRjyQeC,"Anti-infectives, topical"
Clindamycin Phosphate,claAn_kiynH,ISv-VRjyQeC,"Anti-infectives, topical"
Clindamycin Phosphate; Adapalene; Benzoyl Peroxide,Ve1zeigNdBC,NBxhp3-jpK_,"Antibiotics, lincosamides"
Clindamycin Phosphate; Tretinoin,zuo6-O1wC96,ISv-VRjyQeC,"Anti-infectives, topical"
Clioquinol,1F-azSrb6lG,53R3OA9N867,Antifungals
Clioquinol; Hydrocortisone,ptxeHp1hWqD,ISv-VRjyQeC,"Anti-infectives, topical"
Clioquinol; Hydrocortisone; Nystatin,gupe_tiKs3A,ISv-VRjyQeC,"Anti-infectives, topical"
Clobazam,VhdDVMsWT7H,NoXnUC6yxA8,Anticonvulsants
Clobetasol Propionate,47WDRkAjOK6,I9S3cHZ2XN-,"Corticosteroids, topical"
Clobetasone,iKoKH9xk46B,I9S3cHZ2XN-,"Corticosteroids, topical"
Clobetasone butyrate,SNM2sDw5SHC,I9S3cHZ2XN-,"Corticosteroids, topical"
Clobuzarit,r-_XDTMjvz_,ne8s9xavL9A,"Analgesics, non-narcotic"
Clocortolone Pivalate,2uqnkW75tR6,I9S3cHZ2XN-,"Corticosteroids, topical"
Clodantoin,rOUJeca1dg6,53R3OA9N867,Antifungals
Clodronate,y7MOnVr6uj8,sX3EjbNKnbH,Bisphosphonates
Clofarabine,0aq6pZWD_FD,fr6nSMR-Nf_,"Antineoplastics, antimetabolites"
Clofazimine,71PL85NKUuG,bKOyGmkphBB,Antimycobacterials
Clofedanol,TG6D-G3WAjA,DEJK5xl7RB_,Antitussives
Clofibrate,ItrUk7DaYtF,IS4zFJj_Ix-,Antihyperlipidemics
Cloforex,aPnBwmxzuH5,XdBdeznfHH-,Amphetamines
Clometacin,riA8VlExxK9,ne8s9xavL9A,"Analgesics, non-narcotic"
Clomethiazole,GjrM1oRvT7B,xL6ByKwIuZF,Sedatives/hypnotics
Clomiphene Citrate,YuPUjbRtR1A,BrB6b-HC7NA,Estrogens
Clomipramine Hydrochloride,Lh3ANlUf7HC,SVYgpTxPZH5,"Antidepressants, tricyclic"
Clonazepam,sExSuTHHAs8,NoXnUC6yxA8,Anticonvulsants
Clonidine,J5dKAblfMK5,DLRgH5zxHa4,"Antiadrenergics, central"
Clopamide,M2XZpdotZUE,btOOmG_g0uF,"Diuretics, thiazide and derivatives"
Clopidogrel Besilate,JoHFJvwLGxF,fWNowpKR7s8,Platelet inhibitors
Clopidogrel Bisulfate,njWT-YPJ9i9,fWNowpKR7s8,Platelet inhibitors
Clopidogrel Hydrobromide,2lqkfpVd41F,fWNowpKR7s8,Platelet inhibitors
Clopidogrel Hydrochloride,obcfB5xdme4,fWNowpKR7s8,Platelet inhibitors
Clopidogrel; Acetylsalicylic Acid,ZelAEc_wy6-,fWNowpKR7s8,Platelet inhibitors
Cloprostenol,yyW5WwaM6v6,nB0MkNg83z4,Abortifacients
Clorazepate Dipotassium,cjUR1qLeSTG,NoXnUC6yxA8,Anticonvulsants
Clortermine Hydrochloride,iLUWE6eZ6w6,XdBdeznfHH-,Amphetamines
Clotiapine,DyW5_IK_u2A,gubJbdWrgV-,Antipsychotics
Clotrimazole,HlmQy3XzE0-,53R3OA9N867,Antifungals
Cloxacillin Sodium,gQtPBPYKDW5,GouJAgTjMH8,"Antibiotics, penicillins"
Cloximate,AZauUYzdtHD,ne8s9xavL9A,"Analgesics, non-narcotic"
Clozapine,GZzWY7i_EZF,gubJbdWrgV-,Antipsychotics
"Coagulation Factor XA (Recombinant), Inactivated",qaZ2PVCVpk9,AhqRivLC26A,Recombinant DNA Origin
Coagulation proteins,gzURe33ydx7,rjDrlr11PhH,Blood clotting factors
Coal Tar,z0pnfjaiENA,QblGx3T2oQ4,Dermatologics
Cobicistat,8aLDBSntQEG,Qm6KT6ugkp9,Antivirals
Cobicistat; Darunavir Ethanolate,Uz159fEeQ55,Qm6KT6ugkp9,Antivirals
