name,id,parent_id,parent_name
Osteoporosis,KQMYSNhzixE,49_uPRMdypA,Osteoporosis
Osteoporosis glucocorticoid-induced,8My6j02wjv_,3nUpVoedx_H,Toxicity to various agents
Osteoporosis male,Vx0GXr6jaUE,49_uPRMdypA,Osteoporosis
Osteoporosis postmenopausal,PIcG_cHGM1B,49_uPRMdypA,Osteoporosis
Osteoporosis prevention,FVFjo4mlBE4,_A_9oyqR5J5,Osteoporosis prophylaxis
Osteoporosis secondary to cancer,weXSxv24vi7,3nUpVoedx_H,Toxicity to various agents
Osteoporosis secondary to cancer chemotherapy,TjI4xhjH4S6,3nUpVoedx_H,Toxicity to various agents
Osteosarcoma,R1h1btIQB5-,gdRG_nLI1M9,Bone sarcoma
Otitis,-2FOic6g-PG,_VzR49neaRE,Ear infection
Otitis externa,Fms9mtI4HC9,DYkXKS0SUFE,Otitis externa
Otitis externa bacterial,HK1Ishxfvf_,AGoWNu3cfmE,Otitis externa bacterial
Otitis external eczematous,PtnWc5JlcRC,DYkXKS0SUFE,Otitis externa
Otitis media,FDoLvqYAouA,AI9WG1WhOvH,Otitis media
Ototoxicity associated with cisplatin,Y4IZF4GR-58,3nUpVoedx_H,Toxicity to various agents
Ovarian adenocarcinoma,hACGLC5V4q5,WWmOL0FdTF7,Ovarian epithelial cancer
Ovarian cancer advanced,qLEg6eQEGB9,NLXpToBTqP5,Ovarian cancer
Ovarian cancer metastatic,7F73bNidjg-,NLXpToBTqP5,Ovarian cancer
"Ovarian cancer mismatch repair deficient, microsatellite instability-high and/or polymerase epsilon-mutant",KXhrx6YTT4E,NLXpToBTqP5,Ovarian cancer
Ovarian cancer prevention,RxgeZ93HdM_,GdjurM_c3a6,Cancer prophylaxis
Ovarian cancer RET Fusion-Positive advanced metastatic,KDIdqfvkd8E,NLXpToBTqP5,Ovarian cancer
Ovarian cancer with KRAS mutation,-axpxE-lAlF,NLXpToBTqP5,Ovarian cancer
Ovarian failure primary,7oz-cZ6Nq9B,CLDR-_DMJW8,Ovarian failure
Ovarian germ cell tumour,bNYT9kUC4-9,76BRp5EP2nF,Ovarian germ cell tumour
Ovarian hyperstimulation syndrome,JF9vqrK2cGE,I-XTnHkWEqA,Ovarian hyperstimulation syndrome
Overdose acetaminophen,Riw28jQd4aC,3nUpVoedx_H,Toxicity to various agents
Overdose drug,tougcBggjwB,BbuD7JL9XR5,Overdose
Overdose opiate,hN5xzh7aNFE,3nUpVoedx_H,Toxicity to various agents
Overdose sedative,4ZKj49iOjdH,3nUpVoedx_H,Toxicity to various agents
Overweight,R4MgjA0lzm4,Eo6GUCdv-A-,Overweight
Ovulation induction,gQaGWwAgTW7,L9-XEbO5vcH,Ovulation induction
Ovulatory dysfunction,9yFWTd3ULb7,F2Gka_cXE3F,Ovulatory dysfunction
Paget's disease,y7O2VOy6rd_,cSd5fGMfSU4,Osteitis deformans
Pain,v3acMghFml5,MIG5HmhX83D,Pain
Pain acute,rFY4NVvr5vA,MIG5HmhX83D,Pain
Pain breast,bcat0II7Z6H,H-GgbUu-qeA,Breast pain
Pain cancer,ty-NPMf2Te-,0d15G_iRF67,Cancer pain
